Nome;Tipo;Nome UTM;Link;Filtros;Texto Legal;;;;;;;;;;;;;;;;;;;;;;;
Sabonetes_Banho;Subcategoria;sabonetesbanho;www.natura.com.br/c/cuidados-diarios/banho/sabonetes;;;;;;;;;;;;;;;;;;;;;;;;;
Óleos_Banho;Subcategoria;oleosbanho;www.natura.com.br/c/cuidados-diarios/banho/oleos;;;;;;;;;;;;;;;;;;;;;;;;;
Cuidados Intimos_Subcategoria;Subcategoria;cuidadosintimos;www.natura.com.br/c/cuidados-diarios/banho/cuidados-intimos;;;;;;;;;;;;;;;;;;;;;;;;;
Hidratantes_Mãos_e_Pés;Subcategoria;hidratantemaosepes;www.natura.com.br/c/cuidados-diarios/maos-e-pes/hidratantes;;;;;;;;;;;;;;;;;;;;;;;;;
Hidratacao_rosto;Subcategoria;hidratacaorosto;www.natura.com.br/c/cuidados-diarios/rosto/hidratacao;;;;;;;;;;;;;;;;;;;;;;;;;
Gel Creme_Subcategoria;Subcategoria;gelcreme;www.natura.com.br/c/cuidados-diarios/maos-e-pes/gel-creme;;;;;;;;;;;;;;;;;;;;;;;;;
Batom_Subcategoria;Subcategoria;batom;www.natura.com.br/c/maquiagem/boca/batom;;;;;;;;;;;;;;;;;;;;;;;;;
Lapis para Labios_Subcategoria;Subcategoria;lapisparalapios;www.natura.com.br/c/maquiagem/boca/lapis-para-labios;;;;;;;;;;;;;;;;;;;;;;;;;
Gloss_Subcategoria;Subcategoria;gloss;www.natura.com.br/c/maquiagem/boca/gloss;;;;;;;;;;;;;;;;;;;;;;;;;
Hidratante Labial;Subcategoria;hidratantelabial;www.natura.com.br/c/maquiagem/boca/hidratante-labial;;;;;;;;;;;;;;;;;;;;;;;;;
Lapis Para Olhos_Subcategoria;Subcategoria;lapisparaolhos;www.natura.com.br/c/maquiagem/olhos/lapis;;;;;;;;;;;;;;;;;;;;;;;;;
Sombra_Subcategoria;Subcategoria;sombra;www.natura.com.br/c/maquiagem/olhos/sombra;;;;;;;;;;;;;;;;;;;;;;;;;
Mascara Para Cilios_Subcategoria;Subcategoria;mascaraparacilios;www.natura.com.br/c/maquiagem/olhos/mascara-para-cilios;;;;;;;;;;;;;;;;;;;;;;;;;
Delineador_Subcategoria;Subcategoria;delineador;www.natura.com.br/c/maquiagem/olhos/delineador;;;;;;;;;;;;;;;;;;;;;;;;;
Base_Rosto;Subcategoria;base;www.natura.com.br/c/maquiagem/rosto/base;;;;;;;;;;;;;;;;;;;;;;;;;
Po_Subcategoria;Subcategoria;po;www.natura.com.br/c/maquiagem/rosto/po;;;;;;;;;;;;;;;;;;;;;;;;;
Blush_Subcategoria;Subcategoria;blush;www.natura.com.br/c/maquiagem/rosto/blush;;;;;;;;;;;;;;;;;;;;;;;;;
Corretivo_Subcategoria;Subcategoria;corretivo;www.natura.com.br/c/maquiagem/rosto/corretivo;;;;;;;;;;;;;;;;;;;;;;;;;
Iluminador_Subcategoria;Subcategoria;iluminador;www.natura.com.br/c/maquiagem/rosto/iluminador;;;;;;;;;;;;;;;;;;;;;;;;;
Pre-Maquiagem_Subcategoria;Subcategoria;premaquiagem;www.natura.com.br/c/maquiagem/rosto/pre-maquiagem;;;;;;;;;;;;;;;;;;;;;;;;;
Demaquilantes_Subcategoria;Subcategoria;demaquilantes;www.natura.com.br/c/maquiagem/rosto/demaquilantes;;;;;;;;;;;;;;;;;;;;;;;;;
Necessaire_Subcategoria;Subcategoria;necessaire;www.natura.com.br/c/maquiagem/acessorios/necessaire;;;;;;;;;;;;;;;;;;;;;;;;;
Base_unhas;Subcategoria;baseunhas;www.natura.com.br/c/unhas/base;;;;;;;;;;;;;;;;;;;;;;;;;
Esmaltes_Subcategoria;Subcategoria;esmaltes;www.natura.com.br/c/unhas/esmalte;;;;;;;;;;;;;;;;;;;;;;;;;
Pre-Shampoo_Subcategoria;Subcategoria;preshampoo;www.natura.com.br/c/cabelos/lavar/pre-shampoo;;;;;;;;;;;;;;;;;;;;;;;;;
